    bin 1,	# 4,	triplet shape 1 of triplet first, correct response                                                  
	bin 2,	# 12,	triplet shape 1 of triplet first, incorrect response                                                
	bin 3,	# 4,	triplet shape 2 of triplet first, correct response                                                  
	bin 4,	# 12,	triplet shape 2 of triplet first, incorrect response                                                
	bin 5,	# 4,	triplet shape 3 of triplet first, correct response                                                  
	bin 6,	# 12,	triplet shape 3 of triplet first, incorrect response                                                
	bin 7,	# 4,	foil shape 1 of triplet first, correct response                                                     
	bin 8,	# 12,	foil shape 1 of triplet first, incorrect response                                                   
	bin 9,	# 4,	foil shape 2 of triplet first, correct response                                                     
	bin 10,	# 12,	foil shape 2 of triplet first, incorrect response                                                   
	bin 11,	# 4,	foil shape 3 of triplet first, correct response                                                     
	bin 12,	# 12,	foil shape 3 of triplet first, incorrect response                                                   
	bin 13,	# 11,	triplet shape 1 of foil first, correct response                                                     
	bin 14,	# 5,	triplet shape 1 of foil first, incorrect response                                                   
	bin 15,	# 11,	triplet shape 2 of foil first, correct response                                                     
	bin 16,	# 5,	triplet shape 2 of foil first, incorrect response                                                   
	bin 17,	# 11,	triplet shape 3 of foil first, correct response                                                     
	bin 18,	# 5,	triplet shape 3 of foil first, incorrect response                                                   
	bin 19,	# 11,	foil shape 1 of foil first, correct response                                                        
	bin 20,	# 5,	foil shape 1 of foil first, incorrect response                                                      
	bin 21,	# 11,	foil shape 2 of foil first, correct response                                                        
	bin 22,	# 5,	foil shape 2 of foil first, incorrect response                                                      
	bin 23,	# 11,	foil shape 3 of foil first, correct response                                                        
	bin 24,	# 5,	foil shape 3 of foil first, incorrect response                      
