Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1       6( 66.7)        3( 33.3)       0       3       1       0       0       0       0
  2       4( 66.7)        2( 33.3)       0       2       0       0       0       0       0
  3       6( 66.7)        3( 33.3)       0       3       0       0       0       0       0
  4       4( 66.7)        2( 33.3)       0       2       0       0       0       0       0
  5       2( 22.2)        7( 77.8)       0       7       5       0       0       0       0
  6       1( 16.7)        5( 83.3)       0       5       3       0       0       0       0
  7       7( 77.8)        2( 22.2)       0       2       2       0       0       0       0
  8       2( 33.3)        4( 66.7)       0       4       1       0       0       0       0
  9       5( 55.6)        4( 44.4)       0       4       2       0       0       0       0
 10       3( 50.0)        3( 50.0)       0       2       2       0       0       0       0
 11       5( 55.6)        4( 44.4)       0       4       1       0       0       0       0
 12       3( 50.0)        3( 50.0)       0       2       2       0       0       0       0
 13       7(100.0)        0(  0.0)       0       0       0       0       0       0       0
 14       7( 77.8)        2( 22.2)       0       0       2       0       0       0       0
 15       4( 57.1)        3( 42.9)       0       3       0       0       0       0       0
 16       5( 55.6)        4( 44.4)       0       4       1       0       0       0       0
 17       2( 28.6)        5( 71.4)       0       3       5       0       0       0       0
 18       3( 33.3)        6( 66.7)       0       5       1       0       0       0       0
 19       4( 57.1)        3( 42.9)       0       3       2       0       0       0       0
 20       4( 44.4)        5( 55.6)       0       5       2       0       0       0       0
 21       4( 57.1)        3( 42.9)       0       3       2       0       0       0       0
 22       4( 44.4)        5( 55.6)       0       5       3       0       0       0       0
 23       3( 42.9)        4( 57.1)       0       4       2       0       0       0       0
 24       4( 44.4)        5( 55.6)       0       5       3       0       0       0       0
____________________________________________________________________________________________________
Total    99( 53.2)       87( 46.8)       0      80      42       0       0       0       0

