Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1       3( 33.3)        6( 66.7)       0       4       6       0       0       0       0
  2       3( 42.9)        4( 57.1)       0       2       4       0       0       0       0
  3       6( 66.7)        3( 33.3)       0       3       3       0       0       0       0
  4       4( 57.1)        3( 42.9)       0       2       3       0       0       0       0
  5       3( 33.3)        6( 66.7)       0       5       6       0       0       0       0
  6       1( 14.3)        6( 85.7)       0       5       6       0       0       0       0
  7       8( 88.9)        1( 11.1)       0       1       1       0       0       0       0
  8       6( 85.7)        1( 14.3)       0       1       1       0       0       0       0
  9       4( 44.4)        5( 55.6)       0       5       5       0       0       0       0
 10       4( 57.1)        3( 42.9)       0       3       3       0       0       0       0
 11       7( 77.8)        2( 22.2)       0       2       2       0       0       0       0
 12       4( 57.1)        3( 42.9)       0       3       3       0       0       0       0
 13       3( 30.0)        7( 70.0)       0       2       7       0       0       0       0
 14       3( 50.0)        3( 50.0)       0       1       2       0       0       0       0
 15       6( 60.0)        4( 40.0)       0       2       4       0       0       0       0
 16       5( 83.3)        1( 16.7)       0       0       1       0       0       0       0
 17       7( 70.0)        3( 30.0)       0       3       3       0       0       0       0
 18       0(  0.0)        6(100.0)       0       6       4       0       0       0       0
 19       7( 70.0)        3( 30.0)       0       2       3       0       0       0       0
 20       4( 66.7)        2( 33.3)       0       2       2       0       0       0       0
 21       4( 40.0)        6( 60.0)       0       5       6       0       0       0       0
 22       4( 66.7)        2( 33.3)       0       2       2       0       0       0       0
 23       8( 80.0)        2( 20.0)       0       2       2       0       0       0       0
 24       4( 66.7)        2( 33.3)       0       2       2       0       0       0       0
____________________________________________________________________________________________________
Total   108( 56.2)       84( 43.8)       0      65      81       0       0       0       0

