Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1       5( 62.5)        3( 37.5)       0       0       3       0       0       0       0
  2       3( 37.5)        5( 62.5)       0       2       5       0       0       0       0
  3       6( 75.0)        2( 25.0)       0       0       2       0       0       0       0
  4       6( 75.0)        2( 25.0)       0       0       2       0       0       0       0
  5       6( 75.0)        2( 25.0)       0       1       1       0       0       0       0
  6       6( 75.0)        2( 25.0)       0       1       2       0       0       0       0
  7       7( 87.5)        1( 12.5)       0       0       1       0       0       0       0
  8       7( 87.5)        1( 12.5)       0       0       1       0       0       0       0
  9       7( 87.5)        1( 12.5)       0       0       1       0       0       0       0
 10       6( 75.0)        2( 25.0)       0       0       2       0       0       0       0
 11       4( 50.0)        4( 50.0)       0       1       4       0       0       0       0
 12       4( 50.0)        4( 50.0)       0       1       4       0       0       0       0
 13       6( 60.0)        4( 40.0)       0       0       4       0       0       0       0
 14       2( 33.3)        4( 66.7)       0       0       4       0       0       0       0
 15       8( 80.0)        2( 20.0)       0       1       2       0       0       0       0
 16       5( 83.3)        1( 16.7)       0       0       1       0       0       0       0
 17       8( 80.0)        2( 20.0)       0       0       2       0       0       0       0
 18       5( 83.3)        1( 16.7)       0       0       1       0       0       0       0
 19       8( 80.0)        2( 20.0)       0       1       2       0       0       0       0
 20       5( 83.3)        1( 16.7)       0       0       1       0       0       0       0
 21       9( 90.0)        1( 10.0)       0       0       1       0       0       0       0
 22       5( 83.3)        1( 16.7)       0       0       1       0       0       0       0
 23       6( 60.0)        4( 40.0)       0       2       4       0       0       0       0
 24       4( 66.7)        2( 33.3)       0       1       1       0       0       0       0
____________________________________________________________________________________________________
Total   138( 71.9)       54( 28.1)       0      11      52       0       0       0       0

